"Index","TXG.Open","TXG.High","TXG.Low","TXG.Close","TXG.Volume","TXG.Adjusted"
"2020-01-02",76.910004,77.989998,71.480003,72.830002,220200,72.830002
"2020-01-03",71.519997,76.188004,70.580002,75.559998,288300,75.559998
"2020-01-06",75.269997,77.349998,73.559998,75.550003,220600,75.550003
"2020-01-07",76,77.279999,75.32,75.980003,182400,75.980003
"2020-01-08",76.089996,76.949997,72.739998,74.839996,172100,74.839996
"2020-01-09",75.580002,77.940002,75.5,77.169998,183600,77.169998
"2020-01-10",77.639999,83.550003,77.134003,79.75,295800,79.75
"2020-01-13",80.849998,84.709999,80.524002,83.720001,196800,83.720001
"2020-01-14",83.809998,85.139999,81.639999,84.610001,152100,84.610001
"2020-01-15",85.459999,90.370003,85.139999,85.800003,308000,85.800003
"2020-01-16",86.82,87.150002,84.010002,85.889999,126000,85.889999
"2020-01-17",86.110001,87.758003,80.269997,83.629997,140700,83.629997
"2020-01-21",84.989998,88.860001,83.010002,87.75,207500,87.75
"2020-01-22",89.540001,96.737999,89.199997,91.809998,395200,91.809998
"2020-01-23",92.349998,95.059998,90,95.059998,197300,95.059998
"2020-01-24",95.459999,101,94.157997,100.790001,328100,100.790001
"2020-01-27",99.760002,104.892998,97.019997,103.209999,334900,103.209999
"2020-01-28",104.620003,108.269997,103.297997,106.620003,245400,106.620003
"2020-01-29",107.779999,108.359001,98.029999,99.290001,284800,99.290001
"2020-01-30",99,99.269997,89.68,93.550003,370200,93.550003
"2020-01-31",93.800003,96.739998,89.110001,91.389999,214700,91.389999
"2020-02-03",91.25,96.664001,91,93.82,141200,93.82
"2020-02-04",95.459999,96.010002,90.224998,90.720001,152500,90.720001
"2020-02-05",91.129997,93.112,90.029999,92.010002,114300,92.010002
"2020-02-06",92.269997,95.330002,90.525002,91.190002,125800,91.190002
"2020-02-07",92.699997,93,86.160004,88.980003,222500,88.980003
"2020-02-10",89.459999,91.419998,87.495003,88.370003,97700,88.370003
"2020-02-11",88.870003,90.010002,83.529999,87.25,286700,87.25
"2020-02-12",86.559998,87.209999,84.899002,86.660004,137700,86.660004
"2020-02-13",87.699997,90.769997,86.040001,86.769997,121900,86.769997
"2020-02-14",87.669998,94.279999,86.349998,92.57,265600,92.57
"2020-02-18",93,93.860001,86.646004,90.220001,288200,90.220001
"2020-02-19",86.410004,93.800003,82.099998,90.599998,992300,90.599998
"2020-02-20",90.389999,90.989998,84,85.440002,279000,85.440002
"2020-02-21",85.059998,85.474998,78.68,82,618400,82
"2020-02-24",78.099998,80.610001,75.540001,79.949997,306500,79.949997
"2020-02-25",79.239998,80,72.75,73.57,559800,73.57
"2020-02-26",73.959999,80.230003,73.010002,75.18,434300,75.18
"2020-02-27",73.489998,76.5,71.169998,72.730003,225800,72.730003
"2020-02-28",70.029999,79.830002,70.029999,79.699997,314600,79.699997
"2020-03-02",80.440002,81.480003,75.019997,79.370003,418700,79.370003
"2020-03-03",79.519997,81.139999,75,76.949997,331800,76.949997
"2020-03-04",78.709999,78.709999,72.870003,77.419998,354800,77.419998
"2020-03-05",77.300003,78.172997,71.589996,72.589996,340100,72.589996
"2020-03-06",69.419998,71.5,62.060001,71.279999,3934700,71.279999
"2020-03-09",63.52,68.32,62.509998,65.290001,721000,65.290001
"2020-03-10",65.949997,67.18,60.900002,66.5,921800,66.5
"2020-03-11",62.91,64,57.41,60.759998,1066300,60.759998
"2020-03-12",55.119999,59.994999,50.810001,59.599998,661300,59.599998
"2020-03-13",60,62.689999,55.560001,57.360001,726100,57.360001
"2020-03-16",51,60.990002,51,55.549999,693500,55.549999
"2020-03-17",55.470001,61.709999,53.849998,59.880001,430700,59.880001
"2020-03-18",57.549999,59.490002,54.389999,58,584500,58
"2020-03-19",57.07,58.5,51.965,55,1125800,55
"2020-03-20",53.779999,56.779999,52.509998,55.779999,1342500,55.779999
"2020-03-23",55.560001,55.985001,48.779999,51.57,1261400,51.57
"2020-03-24",53.75,57.810001,53.75,57.110001,694200,57.110001
"2020-03-25",57.009998,62.59,55.18,59.990002,535100,59.990002
"2020-03-26",60,63.990002,59.990002,61.040001,307400,61.040001
"2020-03-27",60.400002,62.099998,59.25,59.990002,148500,59.990002
"2020-03-30",61.16,63.84,58.055,62.799999,418800,62.799999
"2020-03-31",63.360001,63.360001,60.32,62.32,286200,62.32
"2020-04-01",59.799999,60.959999,57.009998,58.389999,424500,58.389999
"2020-04-02",58.119999,60.650002,56.810001,59.740002,344200,59.740002
"2020-04-03",59.450001,61.400002,58.040001,58.689999,422200,58.689999
"2020-04-06",59.130001,62.5,59.130001,62.27,628900,62.27
"2020-04-07",62.959999,63.049999,58.110001,60.849998,607200,60.849998
"2020-04-08",60.330002,64.550003,59.360001,64.32,494400,64.32
"2020-04-09",64.989998,66.306,62.777,65.919998,595100,65.919998
"2020-04-13",66.400002,67.480003,62.700001,64.889999,353100,64.889999
"2020-04-14",64.220001,67,62.869999,66.75,949900,66.75
"2020-04-15",66.120003,67.480003,64.650002,66.800003,396300,66.800003
"2020-04-16",67.480003,68.720001,66.260002,68.5,452100,68.5
"2020-04-17",69.480003,71.910004,69.279999,71.160004,676000,71.160004
"2020-04-20",68.419998,74.980003,67.75,74.199997,692400,74.199997
"2020-04-21",74.480003,75.419998,73.544998,74.580002,738500,74.580002
"2020-04-22",76.57,76.57,75.010002,76,647800,76
"2020-04-23",75.400002,76.419998,72.82,73.940002,631900,73.940002
"2020-04-24",73.080002,74.519997,72.775002,74,701700,74
"2020-04-27",75,76.769997,74.089996,76.190002,1117800,76.190002
"2020-04-28",76.720001,77.440002,75.305,76.260002,522200,76.260002
"2020-04-29",77.400002,82.360001,76.25,81.75,1096200,81.75
"2020-04-30",81.059998,82.400002,78.660004,79.870003,577000,79.870003
"2020-05-01",78.510002,79.800003,76.010002,78.410004,614000,78.410004
"2020-05-04",78.330002,78.940002,76.82,77.910004,360200,77.910004
"2020-05-05",79.129997,80.139,77.589996,78.169998,664100,78.169998
"2020-05-06",78.290001,79.5,77.029999,78.699997,352100,78.699997
"2020-05-07",79.510002,81.470001,78.404999,80.809998,599300,80.809998
"2020-05-08",80.980003,84.400002,80.5,82.959999,532900,82.959999
"2020-05-11",83,85.120003,82.080002,82.099998,786100,82.099998
"2020-05-12",79.550003,83,74,82.589996,1392400,82.589996
"2020-05-13",81.010002,83.5,78.370003,80.080002,948600,80.080002
"2020-05-14",74.529999,79.370003,72.360001,78.970001,1387800,78.970001
"2020-05-15",78.080002,80,77.599998,77.949997,520300,77.949997
"2020-05-18",78,80.970001,76.919998,77.199997,879500,77.199997
"2020-05-19",77.300003,79.713997,77.300003,78.199997,1019600,78.199997
"2020-05-20",79,80.5,77.709999,78,1054300,78
"2020-05-21",78.160004,78.470001,75.330002,76,512800,76
"2020-05-22",75.589996,75.589996,72.040001,74.849998,1056000,74.849998
"2020-05-26",75.889999,78.790001,74.849998,76,690600,76
"2020-05-27",75.699997,78,74.010002,77.660004,535600,77.660004
"2020-05-28",78.279999,79.389999,76.260002,76.290001,357700,76.290001
"2020-05-29",76.559998,78.190002,76.010002,77.970001,877000,77.970001
"2020-06-01",77.980003,82.360001,76.595001,81.949997,1226700,81.949997
"2020-06-02",81.910004,82.237999,79.949997,80.5,776600,80.5
"2020-06-03",81.169998,86.900002,80.599998,85.910004,1656000,85.910004
"2020-06-04",84.410004,84.75,78.519997,79.699997,1288300,79.699997
"2020-06-05",80.260002,82.529999,78.68,82.379997,722800,82.379997
